x,y,raw,cumulative,Logistic
85.10428874,41.88762207,2.51E-06,0.270932172,0.000301909
119.0626221,32.4209554,2.25E-05,3.365032657,0.002694573
88.0459554,23.9459554,1.60E-10,0.000004053,0.000000019
117.6209554,29.8459554,1.94E-04,10.18813492,0.022759069
62.36262207,53.06262207,3.40E-06,0.435249327,0.000408221
139.8459554,37.1709554,1.74E-02,44.24607684,0.676323627
84.8709554,37.10428874,8.01E-06,1.396233398,0.000960936
76.28762207,55.4709554,3.23E-06,0.400759377,0.000387988
92.68762207,35.9709554,4.47E-06,0.671355769,0.000536376
125.5876221,39.5959554,9.59E-05,7.544583861,0.011392823
87.8709554,29.5209554,9.25E-06,1.648288422,0.001109619
119.8042887,59.77928874,1.04E-07,0.002290741,0.000012461
63.11262207,36.3959554,6.30E-07,0.037415458,0.000075686
80.07928874,58.25428874,3.71E-06,0.499635424,0.00044567
128.9959554,45.22928874,2.71E-05,3.787614192,0.003249464
88.1209554,36.25428874,1.53E-06,0.132171157,0.000183701
108.0959554,47.12928874,6.09E-06,1.003064713,0.000730334
82.98762207,22.30428874,9.89E-11,0.000002249,0.000000012
135.1876221,54.06262207,9.51E-07,0.067549466,0.000114229
77.92928874,45.8709554,1.14E-06,0.087781483,0.000137214
123.1126221,57.82928874,4.53E-07,0.023845813,0.000054357
81.71262207,38.73762207,2.09E-06,0.20830832,0.000251081
114.5709554,23.8209554,3.13E-06,0.382294198,0.000376375
70.7459554,34.23762207,9.22E-09,0.000195125,0.000001107
71.27928874,50.75428874,2.74E-06,0.316391631,0.000328944
130.6709554,32.8209554,8.31E-04,17.19218801,0.090718628
98.6959554,19.78762207,3.20E-08,0.00061132,0.000003841
69.07928874,25.58762207,4.93E-11,0.000000818,0.000000006
121.5626221,49.2209554,6.73E-06,1.131762039,0.000808121
94.02928874,52.12928874,5.45E-06,0.883885868,0.000654529
132.6042887,55.88762207,6.95E-08,0.001387269,0.000008347
71.22928874,36.5959554,1.46E-05,2.484986419,0.001754641
131.2626221,55.31262207,3.87E-08,0.000739033,0.000004648
95.80428874,19.26262207,1.75E-10,0.000004574,0.000000021
79.91262207,26.58762207,5.36E-10,0.000012956,0.000000064
68.55428874,35.21262207,9.53E-06,1.70369117,0.001143506
106.8042887,36.33762207,3.59E-05,4.492495925,0.004289341
73.23762207,55.68762207,3.81E-06,0.521814275,0.000457848
92.4709554,31.65428874,3.25E-05,4.273781905,0.003886111
108.6292887,31.5459554,9.49E-06,1.691321065,0.001138278
73.88762207,38.17928874,1.47E-06,0.126307156,0.000176897
62.60428874,29.18762207,4.63E-08,0.000929806,0.000005561
97.3709554,42.23762207,1.29E-05,2.265268371,0.001548356
94.83762207,46.95428874,5.07E-06,0.814696039,0.000608376
61.35428874,25.88762207,3.95E-11,0.000000569,0.000000005
94.42928874,58.80428874,1.76E-06,0.157422068,0.000211183
78.06262207,57.30428874,4.14E-06,0.590762757,0.000497559
73.43762207,58.3209554,4.44E-06,0.660222499,0.000532672
87.4459554,55.1209554,9.42E-06,1.679029855,0.001129936
79.05428874,23.6459554,2.52E-10,0.000006513,0.00000003
